"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Active","Price Difference Account/Companies/ID","Price Difference Account/Companies/Company Name"
"Lion Ware (Polishing)","3596","Standard Price","Periodic (at closing)","","","","","","",""
"MOANA ကြက်စာခွက်","3638","Standard Price","Perpetual (at invoicing)","","","","","","",""
"Main Box","3330","Standard Price","Periodic (at closing)","","","","","","",""
"Main Label","3329","Standard Price","Periodic (at closing)","","","","","","",""
"Main Other","3332","Standard Price","Periodic (at closing)","","","","","","",""
"Main Plastic","3328","Standard Price","Periodic (at closing)","","","","","","",""
"Main String","3331","Standard Price","Periodic (at closing)","","","","","","",""
"Mango Clip","3433","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Mango Gutter","3393","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Mango Hose","367","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Mango Pipe","366","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Mango Ware (Polishing)","3590","Standard Price","Periodic (at closing)","","","","","","",""
"Mango Window Profile","3405","Standard Price","Periodic (at closing)","","","","","","",""
"Marble Series (Polishing)","3594","Standard Price","Periodic (at closing)","","","","","","",""
"Marble ရေတိုင်ကီ","3406","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Oil","3422","Standard Price","Periodic (at closing)","","","","","","",""
"PVC Ball Valve Blue စွပ် ဆက်စပ်ပစ္စည်း","3623","Standard Price","Periodic (at closing)","","","","","","",""
"PVC Ball Valve Green စွပ် ဆက်စပ်ပစ္စည်း","3624","Standard Price","Periodic (at closing)","","","","","","",""
"PVC Ball Valve Red စွပ် ဆက်စပ်ပစ္စည်း","3625","Standard Price","Periodic (at closing)","","","","","","",""
"PVC Door","317","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Packing","3380","Standard Price","Periodic (at closing)","","","","","","",""
"Packing for Window Profile","3426","Standard Price","Periodic (at closing)","","","","","","",""
"Packing(Hose)","3627","Standard Price","Periodic (at closing)","","","","","","",""
"Packing-Plastic","3421","Standard Price","Periodic (at closing)","","","","","","",""
"Packing-Sticker","3425","Standard Price","Periodic (at closing)","","","","","","",""
"Pallet","3582","Standard Price","Periodic (at closing)","","","","","","",""
"Panel Box","320","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Pipe (အရောင်ဖျော့)","3410","Standard Price","Periodic (at closing)","","","","","","",""
"Pipe(ပေတို)","3388","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group","1896","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / BOX","599","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / Brush","587","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King  အုပ်ဆောင်း","616","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ခုံ","615","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ချိတ်","614","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ခြင်း","613","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ဇကာ","617","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ဇလုံ","612","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ထွေးခံ","622","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ဖလား","611","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
"Popular Group / King ဘူး","619","Standard Price","Periodic (at closing)","77250","502004","Price Different","Expenses","True","118","Popular Plastic Group"
