"Display Name","ID","Costing Method","Inventory Valuation","Price Difference Account/ID","Price Difference Account/Code","Price Difference Account/Account Name","Price Difference Account/Type","Price Difference Account/Deprecated","Price Difference Account/Company/ID","Price Difference Account/Company/Company Name"
"Popular Group / Summit ပန်းအိုး","669","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ပုဂံ","671","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ဖလား","670","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ဘူး","660","Standard Price","Automated","","","","","","",""
"Popular Group / Summit မုန့်စင်","654","Standard Price","Automated","","","","","","",""
"Popular Group / Summit မှန်","659","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ယပ်တောင်","668","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ရေခဲဘူး","679","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ရေတကောင်း","665","Standard Price","Automated","","","","","","",""
"Popular Group / Summit ရေပုံး","674","Standard Price","Automated","","","","","","",""
"Popular Group / Summit လင်ဗန်း","664","Standard Price","Automated","","","","","","",""
"Popular Group / Summit အမှိုက်ပုံး","675","Standard Price","Automated","","","","","","",""
"Popular Group / Summit အုပ်ဆောင်း","656","Standard Price","Automated","","","","","","",""
"Popular Group / ခုံ","608","Standard Price","Automated","","","","","","",""
"Popular Group / ချိတ်","596","Standard Price","Automated","","","","","","",""
"Popular Group / ခြင်း","598","Standard Price","Automated","","","","","","",""
"Popular Group / စက်ဘီးခြင်း","271","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"Popular Group / စင်","605","Standard Price","Automated","","","","","","",""
"Popular Group / စားပွဲ","607","Standard Price","Automated","","","","","","",""
"Popular Group / ဆပ်ပြာခွက်","584","Standard Price","Automated","","","","","","",""
"Popular Group / ဆီးအိုး","586","Standard Price","Automated","","","","","","",""
"Popular Group / ဇကာ","597","Standard Price","Automated","","","","","","",""
"Popular Group / ဇလုံ","601","Standard Price","Automated","","","","","","",""
"Popular Group / ထွေးခံ","585","Standard Price","Automated","","","","","","",""
"Popular Group / ပုဂံ","583","Standard Price","Automated","","","","","","",""
"Popular Group / ဖလား","592","Standard Price","Automated","","","","","","",""
"Popular Group / ဗီဒို","3401","Standard Price","Manual","","","","","","",""
"Popular Group / ဘူး","579","Standard Price","Automated","","","","","","",""
"Popular Group / မုန့်ကဒ်","606","Standard Price","Automated","","","","","","",""
"Popular Group / မှန်","307","Standard Price","Automated","","","","","","",""
"Popular Group / ယပ်တောင်","591","Standard Price","Automated","","","","","","",""
"Popular Group / ရေခဲဘူး","580","Standard Price","Automated","","","","","","",""
"Popular Group / ရေခွက်","581","Standard Price","Automated","","","","","","",""
"Popular Group / ရေတကောင်း","582","Standard Price","Automated","","","","","","",""
"Popular Group / ရေပုံး","600","Standard Price","Automated","","","","","","",""
"Popular Group / ရေမှုတ်","593","Standard Price","Automated","","","","","","",""
"Popular Group / လင်ဗန်း","589","Standard Price","Automated","","","","","","",""
"Popular Group / အမှိုက်ပုံး","603","Standard Price","Automated","","","","","","",""
"Popular Group / အိမ်သာ Brush","588","Standard Price","Automated","","","","","","",""
"Popular Group / အုပ်ဆောင်း","602","Standard Price","Automated","","","","","","",""
"Popular Group / အံဆွဲ","604","Standard Price","Automated","","","","","","",""
"Popular Group / ဦးထုပ်","590","Standard Price","Automated","","","","","","",""
"Popular Group / ‌‌‌ဂေါ်ပြား","594","Standard Price","Automated","","","","","","",""
"Popular Pipe (Cancel)","365","Standard Price","Automated","","","","","","",""
"Production","3615","Standard Price","Manual","","","","","","",""
"Raw","3580","Standard Price","Manual","","","","","","",""
"Raw (Bajar Pipe)","3378","Standard Price","Manual","","","","","","",""
"Raw (Recycle)","3377","Standard Price","Manual","","","","","","",""
"Raw Chemical","3427","Standard Price","Manual","","","","","","",""
"Raw Materials","3334","Standard Price","Manual","","","","","","",""
"Raw Materials(Hose)","3628","Standard Price","Manual","","","","","","",""
"Recycle","3429","Standard Price","Manual","","","","","","",""
"Recycle (Kaw Seed)","3431","Standard Price","Manual","","","","","","",""
"Recycle(Hose)","3629","Standard Price","Manual","","","","","","",""
"Reject","3599","Standard Price","Manual","","","","","","",""
"Repro Tee ","630","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO Gutter","363","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO Hose","319","Standard Price","Automated","4866","502004","Price Difference ","Expenses","","26","Dawbon Industry (1.10.21)"
"SOGO Pipe","350","Standard Price","Automated","","","","","","",""
"SOGO Window Profile","374","Standard Price","Automated","","","","","","",""
"SOGO Window Profile / Window","354","Standard Price","Automated","","","","","","",""
"SOGO Window Profile / Window Profile","355","Standard Price","Automated","","","","","","",""
