"Display Name","ID","Inventory Valuation"
"Popular Group / ခုံ","608","Perpetual (at invoicing)"
"Popular Group / ချိတ်","596","Perpetual (at invoicing)"
"Popular Group / ခြင်း","598","Perpetual (at invoicing)"
"Popular Group / စက်ဘီးခြင်း","271","Perpetual (at invoicing)"
"Popular Group / စင်","605","Perpetual (at invoicing)"
"Popular Group / စားပွဲ","607","Perpetual (at invoicing)"
"Popular Group / ဆပ်ပြာခွက်","584","Perpetual (at invoicing)"
"Popular Group / ဆီးအိုး","586","Perpetual (at invoicing)"
"Popular Group / ဇကာ","597","Perpetual (at invoicing)"
"Popular Group / ဇလုံ","601","Perpetual (at invoicing)"
"Popular Group / ထွေးခံ","585","Perpetual (at invoicing)"
"Popular Group / ပုဂံ","583","Perpetual (at invoicing)"
"Popular Group / ဖလား","592","Perpetual (at invoicing)"
"Popular Group / ဗီဒို","3401","Perpetual (at invoicing)"
"Popular Group / ဘူး","579","Perpetual (at invoicing)"
"Popular Group / မုန့်ကဒ်","606","Perpetual (at invoicing)"
"Popular Group / မှန်","307","Perpetual (at invoicing)"
"Popular Group / ယပ်တောင်","591","Perpetual (at invoicing)"
"Popular Group / ရေခဲဘူး","580","Perpetual (at invoicing)"
"Popular Group / ရေခွက်","581","Perpetual (at invoicing)"
"Popular Group / ရေတကောင်း","582","Perpetual (at invoicing)"
"Popular Group / ရေပုံး","600","Perpetual (at invoicing)"
"Popular Group / ရေမှုတ်","593","Perpetual (at invoicing)"
"Popular Group / လင်ဗန်း","589","Perpetual (at invoicing)"
"Popular Group / အမှိုက်ပုံး","603","Perpetual (at invoicing)"
"Popular Group / အိမ်သာ Brush","588","Perpetual (at invoicing)"
"Popular Group / အုပ်ဆောင်း","602","Perpetual (at invoicing)"
"Popular Group / အံဆွဲ","604","Perpetual (at invoicing)"
"Popular Group / ဦးထုပ်","590","Perpetual (at invoicing)"
"Popular Group / ‌‌‌ဂေါ်ပြား","594","Perpetual (at invoicing)"
"Popular Pipe (Cancel)","365","Perpetual (at invoicing)"
"Production","3615","Perpetual (at invoicing)"
"Raw","3580","Perpetual (at invoicing)"
"Raw (Bajar Pipe)","3378","Perpetual (at invoicing)"
"Raw (Recycle)","3377","Perpetual (at invoicing)"
"Raw Chemical","3427","Perpetual (at invoicing)"
"Raw Materials","3334","Perpetual (at invoicing)"
"Raw Materials(Hose)","3628","Perpetual (at invoicing)"
"Recycle","3429","Perpetual (at invoicing)"
"Recycle (Kaw Seed)","3431","Perpetual (at invoicing)"
"Recycle(Hose)","3629","Perpetual (at invoicing)"
"Reject","3599","Perpetual (at invoicing)"
"Repro Tee ","630","Perpetual (at invoicing)"
"SOGO Gutter","363","Perpetual (at invoicing)"
"SOGO Hose","319","Perpetual (at invoicing)"
"SOGO Pipe","350","Perpetual (at invoicing)"
"SOGO Window Profile","374","Perpetual (at invoicing)"
"SOGO Window Profile / Window","354","Perpetual (at invoicing)"
"SOGO Window Profile / Window Profile","355","Perpetual (at invoicing)"
"SOGO.","375","Perpetual (at invoicing)"
"SOGO. / Base Box","270","Perpetual (at invoicing)"
"SOGO. / Board","272","Perpetual (at invoicing)"
"SOGO. / Breaker Box","277","Perpetual (at invoicing)"
"SOGO. / Choke","281","Perpetual (at invoicing)"
"SOGO. / FX  Design","290","Perpetual (at invoicing)"
"SOGO. / Globe","3294","Perpetual (at invoicing)"
"SOGO. / Joint Box","304","Perpetual (at invoicing)"
"SOGO. / PDI  Design","309","Perpetual (at invoicing)"
"SOGO. / PPI  Design","310","Perpetual (at invoicing)"
"SOGO. / PRU  Design","311","Perpetual (at invoicing)"
"SOGO. / PSG  Design","312","Perpetual (at invoicing)"
"SOGO. / PSI  Design","313","Perpetual (at invoicing)"
"SOGO. / PSK  Design","314","Perpetual (at invoicing)"
"SOGO. / PSO  Design","315","Perpetual (at invoicing)"
"SOGO. / PSR  Design","316","Perpetual (at invoicing)"
"SOGO. / Plug","322","Perpetual (at invoicing)"
"SOGO. / SG  Design","331","Perpetual (at invoicing)"
"SOGO. / Sogo Clip","283","Perpetual (at invoicing)"
"SOGO. / Switch/Socket","338","Perpetual (at invoicing)"
"Semi Finished Goods","3333","Perpetual (at invoicing)"
"Septic Tank","3587","Perpetual (at invoicing)"
"Septic Tank - Accessories","3588","Perpetual (at invoicing)"
"Services","3640","Perpetual (at invoicing)"
"Smart Aircon","3284","Perpetual (at invoicing)"
"Socket DL","3385","Perpetual (at invoicing)"
"Sprinkler","337","Perpetual (at invoicing)"
"Sticker","3586","Perpetual (at invoicing)"
"Thinwall","610","Perpetual (at invoicing)"
"Trunking","376","Perpetual (at invoicing)"
"Trunking / PVC E-Pipe","318","Perpetual (at invoicing)"
"Trunking / Trunking","344","Perpetual (at invoicing)"
"Union","345","Perpetual (at invoicing)"
"Waste","3383","Perpetual (at invoicing)"
"Water Tap","352","Perpetual (at invoicing)"
"Window Accessory","3301","Perpetual (at invoicing)"
"YS Design","3303","Perpetual (at invoicing)"
"Yoma Pipe (Cancel)","681","Perpetual (at invoicing)"
"ကားကတ်ဆက်","3286","Perpetual (at invoicing)"
"ကြက်စာခွက်","629","Perpetual (at invoicing)"
"ကြိတ်သားသံစားပွဲ","638","Perpetual (at invoicing)"
"ကြွေပြား","3285","Perpetual (at invoicing)"
"ခြင်းလုံး","632","Perpetual (at invoicing)"
"ဂဏန်းခြင်း","3280","Perpetual (at invoicing)"
"ငှက်သိုက်ခွက်","3612","Perpetual (at invoicing)"
"စည်ပင်အမှိုက်ပုံး","1897","Perpetual (at invoicing)"
"စတီးစားပွဲ","636","Perpetual (at invoicing)"
"စာအုပ်စင်","641","Perpetual (at invoicing)"
"ဆီပေပါ","3298","Perpetual (at invoicing)"
"နို့ဆီပုံး","628","Perpetual (at invoicing)"
"ပန်းအိုး","627","Perpetual (at invoicing)"
"ပုဂံစင်","640","Perpetual (at invoicing)"
"ဖော့ပြား","3392","Perpetual (at invoicing)"
"ဖော့ဘူး","3292","Perpetual (at invoicing)"
"ဘိုထိုင်ကြွေအိုး","358","Perpetual (at invoicing)"
"မီးသတ်ဆေးဘူး","289","Perpetual (at invoicing)"
"မီးအားမြှင့်စက်","682","Perpetual (at invoicing)"
"မုန့်စင်","642","Perpetual (at invoicing)"
"ရာဘာခံခွက်","650","Perpetual (at invoicing)"
"ရေခဲပုံး","303","Perpetual (at invoicing)"
"ရေခဲမုန့်ဇွန်း","3279","Perpetual (at invoicing)"
"ရေချိုးခန်းမှန်","3282","Perpetual (at invoicing)"
"ရေတိုင်ကီ Group","2878","Perpetual (at invoicing)"
"ရေတိုင်ကီ Group / Mango ရေတိုင်ကီ","2873","Perpetual (at invoicing)"
"ရေတိုင်ကီ Group / ရေတိုင်ကီ","351","Perpetual (at invoicing)"
"ရေဖြန်းခေါင်း","3299","Perpetual (at invoicing)"
"ရေသန့်ဘူး","609","Perpetual (at invoicing)"
"ရွှေဘူး","649","Perpetual (at invoicing)"
"လမ်းဘလောက်တုံး","644","Perpetual (at invoicing)"
"သော့ချိတ်","631","Perpetual (at invoicing)"
"သံခုံ","643","Perpetual (at invoicing)"
"သံစားပွဲ","635","Perpetual (at invoicing)"
"သံစားပွဲ Group","1908","Perpetual (at invoicing)"
"အိမ်သာခွက်","595","Perpetual (at invoicing)"
"အိမ်သာပိုက်","343","Perpetual (at invoicing)"
"အ၀တ်လှန်းစင်","639","Perpetual (at invoicing)"
