Company ID,Category ID,External ID,Category,Source valuation,Before,Verified after,Status
1,3426,__export__.product_category_3426_aa200459,Packing for Window Profile,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3627,__export__.product_category_3627_92f27a69,Packing(Hose),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3421,__export__.product_category_3421_b9f2d3d8,Packing-Plastic,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3425,__export__.product_category_3425_6e00d62b,Packing-Sticker,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3582,__export__.product_category_3582_2591cd4b,Pallet,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,320,__import__.pci_52,Panel Box,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3410,__export__.product_category_3410_cda444f5,Pipe (အရောင်ဖျော့),Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3388,__export__.product_category_3388_bb325bf4,Pipe(ပေတို),Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,1896,__export__.product_category_1896_e773602c,Popular Group,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,599,__import__.pp_pc_22,Popular Group / BOX,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,587,__import__.pp_pc_9,Popular Group / Brush,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,616,__import__.pp_pc_40,Popular Group / King  အုပ်ဆောင်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,615,__import__.pp_pc_39,Popular Group / King ခုံ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,614,__import__.pp_pc_38,Popular Group / King ချိတ်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,613,__import__.pp_pc_37,Popular Group / King ခြင်း,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,617,__import__.pp_pc_41,Popular Group / King ဇကာ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,612,__import__.pp_pc_36,Popular Group / King ဇလုံ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,622,__import__.pp_pc_46,Popular Group / King ထွေးခံ,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,611,__import__.pp_pc_35,Popular Group / King ဖလား,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,619,__import__.pp_pc_43,Popular Group / King ဘူး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,620,__import__.pp_pc_44,Popular Group / King ရေခွက်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,618,__import__.pp_pc_42,Popular Group / King ရေပုံး,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,621,__import__.pp_pc_45,Popular Group / King ဦးထုပ်,Automated,Perpetual (at invoicing),Perpetual (at invoicing),unchanged-verified
1,3583,__export__.product_category_3583_d9648aa2,Popular Group / MOANA  Brush,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3631,__export__.product_category_3631_de6f9f2f,Popular Group / MOANA  ‌‌‌ဂေါ်ပြား,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3412,__export__.product_category_3412_9895ff9d,Popular Group / MOANA Box,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3633,__export__.product_category_3633_c49a93c3,Popular Group / MOANA ချိတ်,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3634,__export__.product_category_3634_11a258fa,Popular Group / MOANA ခြင်း,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3613,__export__.product_category_3613_dc3140a5,Popular Group / MOANA ဇကာ,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
1,3635,__export__.product_category_3635_be0b055f,Popular Group / MOANA ဇလုံ,Manual,Perpetual (at invoicing),Periodic (at closing),changed-verified
