Company ID,Category ID,Category,Source valuation,Before,After
2,323,Fitting Group. / Reducing Elbow,Manual,Perpetual (at invoicing),Periodic (at closing)
2,325,Fitting Group. / Reducing Socket,Manual,Perpetual (at invoicing),Periodic (at closing)
2,326,Fitting Group. / Reducing Socket(DL),Manual,Perpetual (at invoicing),Periodic (at closing)
2,327,Fitting Group. / Reducing TY DL,Manual,Perpetual (at invoicing),Periodic (at closing)
2,328,Fitting Group. / Reducing Tee,Manual,Perpetual (at invoicing),Periodic (at closing)
2,329,Fitting Group. / Reducing Tee (DL),Manual,Perpetual (at invoicing),Periodic (at closing)
2,330,Fitting Group. / Reducing Y DL,Manual,Perpetual (at invoicing),Periodic (at closing)
2,331,SOGO. / SG  Design,Manual,Perpetual (at invoicing),Periodic (at closing)
2,332,Fitting Group. / Saddle,Manual,Perpetual (at invoicing),Periodic (at closing)
2,333,Fitting Group. / Saddle (New),Manual,Perpetual (at invoicing),Periodic (at closing)
2,334,Fitting Group. / Socket DL,Manual,Perpetual (at invoicing),Periodic (at closing)
2,335,Fitting Group. / Socket Push In,Manual,Perpetual (at invoicing),Periodic (at closing)
2,336,Fitting Group. / Socket Union,Manual,Perpetual (at invoicing),Periodic (at closing)
2,337,Sprinkler,Manual,Perpetual (at invoicing),Periodic (at closing)
2,338,SOGO. / Switch/Socket,Manual,Perpetual (at invoicing),Periodic (at closing)
2,339,Fitting Group. / TY (DL),Manual,Perpetual (at invoicing),Periodic (at closing)
2,340,Fitting Group. / Tee,Manual,Perpetual (at invoicing),Periodic (at closing)
2,341,Fitting Group. / Tee DL,Manual,Perpetual (at invoicing),Periodic (at closing)
2,343,အိမ်သာပိုက်,Manual,Perpetual (at invoicing),Periodic (at closing)
2,344,Trunking / Trunking,Manual,Perpetual (at invoicing),Periodic (at closing)
2,345,Union,Manual,Perpetual (at invoicing),Periodic (at closing)
2,346,Fitting Group. / Valve Elbow,Manual,Perpetual (at invoicing),Periodic (at closing)
2,347,Fitting Group. / Valve Plug,Manual,Perpetual (at invoicing),Periodic (at closing)
2,348,Fitting Group. / Valve Socket,Manual,Perpetual (at invoicing),Periodic (at closing)
2,349,Fitting Group. / Valve Socket Pushin,Manual,Perpetual (at invoicing),Periodic (at closing)
2,350,SOGO Pipe,Manual,Perpetual (at invoicing),Periodic (at closing)
